objectid,lad20cd,lad20nm,lad20nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
85,E07000061,Eastbourne, ,559339,99575,0.258516,50.773869,45331262.1377314,36360.4723094861
86,E07000062,Hastings, ,581528,110694,0.578395,50.867241,30801096.4105864,35829.8749592303
87,E07000063,Lewes, ,541474,105686,0.007671,50.833408,294412706.01043,116614.716511153
88,E07000064,Rother, ,578721,119666,0.542937,50.948711,517123508.196142,163820.453690321
89,E07000065,Wealden, ,555048,117180,0.205156,50.93322,836190833.477277,218405.489405842
90,E07000066,Basildon, ,571548,190848,0.475055,51.590359,110449135.008386,59684.4590316296
91,E07000067,Braintree, ,577253,227335,0.575911,51.91634,611707973.504295,168686.435910178
92,E07000068,Brentwood, ,558560,196070,0.290091,51.641079,153124048.304794,72339.499984653
93,E07000069,Castle Point, ,579490,187920,0.588084,51.561588,63743192.6023069,45350.1648467872
94,E07000070,Chelmsford, ,572116,206972,0.491177,51.735031,342997299.298846,113219.408559366
95,E07000071,Colchester, ,596944,223693,0.859777,51.877022,346773171.053564,131022.450447943
96,E07000072,Epping Forest, ,548919,203758,0.154147,51.712791,338984123.904902,123273.197785461
97,E07000073,Harlow, ,545276,209589,0.103888,51.76614,30537916.2891686,28515.4568027106
98,E07000074,Maldon, ,591413,212072,0.773106,51.774578,428049203.646863,109044.038081881
99,E07000075,Rochford, ,585979,191417,0.683442,51.5909,262900411.510712,195284.662055723
100,E07000076,Tendring, ,614190,222141,1.108981,51.856739,366170265.471827,99190.3004300623
101,E07000077,Uttlesford, ,557832,228865,0.294485,51.935921,641182922.735805,166507.865260074
102,E07000078,Cheltenham, ,394925,222232,-2.07515,51.898609,46596069.2175817,38231.0639602385
103,E07000079,Cotswold, ,402125,208209,-1.97059,51.772549,1164524415.18048,332445.324069312
104,E07000080,Forest of Dean, ,367175,212759,-2.47755,51.812489,561913020.570321,191303.751330009
105,E07000081,Gloucester, ,384071,216449,-2.23263,51.846409,40826626.3298972,31276.0381980306
106,E07000082,Stroud, ,378807,202410,-2.30818,51.720009,475432240.972353,171940.767625449
107,E07000083,Tewkesbury, ,386347,226279,-2.19998,51.934849,414975897.731686,201683.904686334
108,E07000084,Basingstoke and Deane, ,454508,151423,-1.22021,51.259369,633817172.002661,143437.384228921
109,E07000085,East Hampshire, ,474404,129237,-0.93971,51.057652,514432074.863372,144540.791479261
110,E07000086,Eastleigh, ,447202,116802,-1.32943,50.948719,85286910.4067937,67986.7417653198
111,E07000087,Fareham, ,453774,106319,-1.23742,50.853882,77886245.3772974,55210.3296526331
112,E07000088,Gosport, ,458769,101088,-1.16731,50.806358,27607868.0545516,25714.8299274264
113,E07000089,Hart, ,477985,154240,-0.88321,51.281971,215265080.340955,77847.8295539134
114,E07000090,Havant, ,470178,108564,-1.00398,50.872311,78946162.8083796,56097.933133879
115,E07000091,New Forest, ,428748,106521,-1.59293,50.857479,776285673.21988,183527.86796683
116,E07000092,Rushmoor, ,486022,153944,-0.76807,51.278149,39045039.7610893,31893.0015033142
117,E07000093,Test Valley, ,434930,137329,-1.50214,51.134171,627621787.998886,185843.035249425
118,E07000094,Winchester, ,453115,125901,-1.24393,51.030022,661060598.543029,167997.65034636
119,E07000095,Broxbourne, ,534742,204251,-0.05073,51.720798,51442303.5951214,39068.7457937809
120,E07000096,Dacorum, ,500084,208745,-0.55098,51.768452,212476397.68349,110103.830872485
121,E07000098,Hertsmere, ,519774,199352,-0.26899,51.680168,101128162.743759,61228.1638486156
122,E07000099,North Hertfordshire, ,522192,230256,-0.22314,51.957378,375382315.818067,168316.826377481
123,E07000102,Three Rivers, ,507313,196418,-0.45005,51.656319,88824172.1166484,74112.6323982647
124,E07000103,Watford, ,510441,198197,-0.40429,51.6717,21430351.404046,26392.3637917606
125,E07000105,Ashford, ,597640,140644,0.823374,51.130959,580617312.655574,149446.491111594
126,E07000106,Canterbury, ,616032,158096,1.096342,51.281021,318578032.118438,121217.671830595
127,E07000107,Dartford, ,556167,172917,0.245276,51.433731,76310424.5197763,52447.1821573998
128,E07000108,Dover, ,628964,150942,1.276887,51.211761,320781082.950452,117254.754992401
129,E07000109,Gravesham, ,566969,169114,0.398744,51.396488,104958775.594486,59362.0449318832
130,E07000110,Maidstone, ,580489,151670,0.584061,51.235661,393350743.217024,121874.3738203
131,E07000111,Sevenoaks, ,552776,155218,0.188936,51.275631,370346872.085035,134435.51492254
132,E07000112,Folkestone and Hythe, ,610318,134595,1.000795,51.072128,365467301.614829,151367.390430928
133,E07000113,Swale, ,593583,161818,0.776893,51.32251,422028277.885545,109848.128697612
134,E07000114,Thanet, ,631839,166752,1.328226,51.35252,112464083.229792,59280.1433159953
135,E07000115,Tonbridge and Malling, ,564014,153898,0.349306,51.260639,240973422.595413,109908.366226755
136,E07000116,Tunbridge Wells, ,573139,136599,0.471632,51.102539,331328854.676823,150590.455017137
137,E07000117,Burnley, ,384886,430882,-2.2308,53.774059,110684000.240413,57764.5705752205
138,E07000118,Chorley, ,359189,419724,-2.61921,53.672401,202905460.915343,95556.928505884
139,E07000119,Fylde, ,339554,433811,-2.91914,53.797089,182628805.694018,78176.1486740079
140,E07000120,Hyndburn, ,374407,428971,-2.38964,53.756481,72997474.3941516,42655.4911054276
141,E07000121,Lancaster, ,356896,464988,-2.6603,54.07901,654026929.191079,180415.454281154
142,E07000122,Pendle, ,387637,443368,-2.18957,53.88636,169380092.197152,79243.8077162715
143,E07000123,Preston, ,352825,436432,-2.71809,53.822021,142944802.256472,71123.3225234735
144,E07000124,Ribble Valley, ,372687,447676,-2.4174,53.9245,584471489.092845,150499.986105057
